Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_130,VGND,li1,66.0100,179.5200,0.000001
FILLER_62_127,VGND,li1,64.6300,179.5200,0.000001
FILLER_62_124,VGND,li1,63.2500,179.5200,0.000001
FILLER_62_121,VGND,li1,61.8700,179.5200,0.000001
FILLER_62_118,VGND,li1,60.4900,179.5200,0.000001
FILLER_62_115,VGND,li1,59.1100,179.5200,0.000001
FILLER_62_112,VGND,li1,57.7300,179.5200,0.000001
FILLER_62_109,VGND,li1,56.3500,179.5200,0.000001
FILLER_62_106,VGND,li1,54.9700,179.5200,0.000001
FILLER_62_103,VGND,li1,53.5900,179.5200,0.000001
FILLER_62_100,VGND,li1,52.2100,179.5200,0.000001
FILLER_62_97,VGND,li1,50.8300,179.5200,0.000001
FILLER_62_94,VGND,li1,49.4500,179.5200,0.000001
FILLER_62_91,VGND,li1,48.0700,179.5200,0.000001
FILLER_62_88,VGND,li1,46.6900,179.5200,0.000001
FILLER_62_85,VGND,li1,45.3100,179.5200,0.000001
FILLER_62_83,VGND,li1,43.9300,179.5200,0.000001
FILLER_62_80,VGND,li1,43.0100,179.5200,0.000001
FILLER_62_77,VGND,li1,41.6300,179.5200,0.000001
FILLER_62_74,VGND,li1,40.2500,179.5200,0.000001
FILLER_62_71,VGND,li1,38.8700,179.5200,0.000001
FILLER_62_68,VGND,li1,37.4900,179.5200,0.000001
FILLER_62_65,VGND,li1,36.1100,179.5200,0.000001
FILLER_62_62,VGND,li1,34.7300,179.5200,0.000001
FILLER_62_59,VGND,li1,33.3500,179.5200,0.000001
FILLER_62_56,VGND,li1,31.9700,179.5200,0.000001
FILLER_62_53,VGND,li1,30.5900,179.5200,0.000001
FILLER_62_50,VGND,li1,29.2100,179.5200,0.000001
FILLER_62_47,VGND,li1,27.8300,179.5200,0.000001
FILLER_62_44,VGND,li1,26.4500,179.5200,0.000001
FILLER_62_41,VGND,li1,25.0700,179.5200,0.000001
FILLER_62_38,VGND,li1,23.6900,179.5200,0.000001
FILLER_62_35,VGND,li1,22.3100,179.5200,0.000001
FILLER_62_32,VGND,li1,20.9300,179.5200,0.000001
FILLER_62_29,VGND,li1,19.5500,179.5200,0.000001
FILLER_62_27,VGND,li1,18.1700,179.5200,0.000001
FILLER_62_24,VGND,li1,17.2500,179.5200,0.000001
FILLER_62_21,VGND,li1,15.8700,179.5200,0.000001
FILLER_62_18,VGND,li1,14.4900,179.5200,0.000001
FILLER_62_15,VGND,li1,13.1100,179.5200,0.000001
FILLER_62_12,VGND,li1,11.7300,179.5200,0.000001
FILLER_62_9,VGND,li1,10.3500,179.5200,0.000001
FILLER_62_6,VGND,li1,8.9700,179.5200,0.000001
FILLER_61_402,VGND,li1,190.6700,179.5200,0.000005
FILLER_61_399,VGND,li1,189.7500,179.5200,0.000005
FILLER_61_396,VGND,li1,188.3700,179.5200,0.000005
FILLER_61_393,VGND,li1,186.9900,179.5200,0.000004
FILLER_61_391,VGND,li1,185.6100,179.5200,0.000004
FILLER_61_388,VGND,li1,184.6900,179.5200,0.000004
FILLER_61_385,VGND,li1,183.3100,179.5200,0.000003
FILLER_61_382,VGND,li1,181.9300,179.5200,0.000003
FILLER_61_379,VGND,li1,180.5500,179.5200,0.000003
FILLER_61_376,VGND,li1,179.1700,179.5200,0.000002
